asset_id,file,size_bytes,triangles,vertices,materials,textures,max_texture_px,animations,validator_errors,validator_warnings,dim_x_m,dim_y_m,dim_z_m,notes
env_s1_room,environment_whitebox.glb,49744,552,1016,2,0,0,,0,0,5.8,2.35,5.2,紧凑储洞小室白盒 v0.3（M3D-01R）；5.8×2.35×5.2 含墙厚/地板/顶板；桌椅/单箱/原创煤油灯/导览牌/粗石裙边/灰砖补片；碰撞仅在 scene.json
p_s1_radio,props/radio_station_whitebox.glb,126352,2644,4136,5,0,0,,0,0,0.42,0.28,0.32,审核级通用箱式电台：倾斜控制面/无字表窗/6旋钮/4接线端/单根线缆；无铭文无品牌无序列号
p_s1_key,props/telegraph_key_whitebox.glb,10612,168,270,1,0,0,,0,0,0.15,0.072,0.1,通用直键（占位）；key_lever 独立节点于枢轴，供 interact 动画
p_s1_codebook,props/code_book_whitebox.glb,4392,36,72,1,0,0,,0,0,0.15,0.035,0.21,无纹理合拢（占位，FINAL_MODEL_BLOCKED）；不得加任何文字
